node_id,node_type,feeder_name,lon,lat,utm_x,utm_y,attributes,block_name
NODE_0338,secondary_substation,SOWETO EX LANGATA,36.7566228,-1.3330142,250371.24,9852547.88,Substation Number=141955; Number of Customers=11,SIMBOLOS_N_158
NODE_0339,secondary_substation,NDALATI EX LANGATA,36.7879192,-1.3126677,253853.45,9854801.63,Substation Number=198381,SIMBOLOS_N_158
NODE_0340,secondary_substation,NDALATI EX LANGATA,36.7882559,-1.3123784,253890.91,9854833.66,Substation Number=33509; Number of Customers=97,SIMBOLOS_N_158
NODE_0341,secondary_substation,NDALATI EX LANGATA,36.7817191,-1.304483,253162.39,9855706.36,Substation Number=14535; Number of Customers=0,SIMBOLOS_N_158
NODE_0342,secondary_substation,SOWETO EX LANGATA,36.7420918,-1.3291869,248753.09,9852969.76,Substation Number=167153; Number of Customers=5,SIMBOLOS_N_158
NODE_0343,secondary_substation,NDALATI EX LANGATA,36.7760112,-1.3155063,252528.02,9854486.47,Substation Number=101179; Number of Customers=1,SIMBOLOS_N_158
NODE_0344,secondary_substation,SOWETO EX LANGATA,36.7543431,-1.3605185,250120.24,9849505.23,Substation Number=00456; Number of Customers=75,SIMBOLOS_N_158
NODE_0345,secondary_substation,KAREN HOSPITAL EX LANGATA,36.7989503,-1.3306208,255083.3,9852816.88,Substation Number=101210; Number of Customers=106,SIMBOLOS_N_158
NODE_0346,secondary_substation,NDALATI EX LANGATA,36.7795657,-1.3129239,252923.48,9854772.47,Substation Number=242299,SIMBOLOS_N_158
NODE_0347,secondary_substation,SOWETO EX LANGATA,36.7486458,-1.359043,249485.81,9849667.86,Substation Number=106792; Number of Customers=26,SIMBOLOS_N_158
NODE_0348,secondary_substation,NDALATI EX LANGATA,36.7812329,-1.3201404,253109.8,9853974.38,Substation Number=15024; Number of Customers=83,SIMBOLOS_N_158
NODE_0349,secondary_substation,SOWETO EX LANGATA,36.7585244,-1.3386686,250583.52,9851922.6,Substation Number=101213; Number of Customers=1,SIMBOLOS_N_158
NODE_0350,secondary_substation,SOWETO EX LANGATA,36.7599478,-1.3371477,250741.84,9852090.99,Substation Number=205544,SIMBOLOS_N_158
NODE_0351,secondary_substation,SOWETO EX LANGATA,36.761207,-1.3444427,250882.76,9851284.17,Substation Number=106601; Number of Customers=1,SIMBOLOS_N_158
NODE_0352,secondary_substation,SOWETO EX LANGATA,36.7570222,-1.3472641,250417.15,9850971.66,Substation Number=165257; Number of Customers=1,SIMBOLOS_N_158
NODE_0353,secondary_substation,SOWETO EX LANGATA,36.7414834,-1.3364766,248686.1,9852163.33,Substation Number=00394; Number of Customers=95,SIMBOLOS_N_158
NODE_0354,secondary_substation,HARDY EX LANGATA,36.7856854,-1.3221467,253605.69,9853752.91,Substation Number=03600; Number of Customers=192,SIMBOLOS_N_158
NODE_0355,secondary_substation,HARDY EX LANGATA,36.7878033,-1.3178904,253841.06,9854223.91,Substation Number=03841; Number of Customers=317,SIMBOLOS_N_158
NODE_0356,secondary_substation,NDALATI EX LANGATA,36.7827726,-1.3051529,253279.75,9855632.36,Substation Number=242289,SIMBOLOS_N_158
NODE_0357,secondary_substation,NDALATI EX LANGATA,36.7851341,-1.3185446,253543.97,9854151.29,Substation Number=03440; Number of Customers=35,SIMBOLOS_N_158
NODE_0358,secondary_substation,SOWETO EX LANGATA,36.7402204,-1.3714821,248549.1,9848291.0,Substation Number=33950; Number of Customers=24,SIMBOLOS_N_158
NODE_0359,secondary_substation,SOWETO EX LANGATA,36.7403669,-1.3745807,248565.74,9847948.25,Substation Number=00447; Number of Customers=55,SIMBOLOS_N_158
NODE_0360,secondary_substation,NDALATI EX LANGATA,36.7828001,-1.3036741,253282.67,9855795.94,Substation Number=33948; Number of Customers=358,SIMBOLOS_N_158
NODE_0361,secondary_substation,NDALATI EX LANGATA,36.7779611,-1.3115144,252744.7,9854928.22,Substation Number=G73569; Number of Customers=100,SIMBOLOS_N_158
NODE_0362,secondary_substation,KAREN HOSPITAL EX LANGATA,36.7973323,-1.3283974,254902.94,9853062.64,Substation Number=02096; Number of Customers=0,SIMBOLOS_N_158
NODE_0363,secondary_substation,SOWETO EX LANGATA,36.7345311,-1.335515,247911.98,9852268.99,Substation Number=00397; Number of Customers=36,SIMBOLOS_N_158
NODE_0364,secondary_substation,NDALATI EX LANGATA,36.7848488,-1.3194827,253512.29,9854047.5,Substation Number=03439; Number of Customers=107,SIMBOLOS_N_158
NODE_0365,secondary_substation,MAGADI  EX LANGATA,36.7724253,-1.3769273,252135.0,9847692.04,Substation Number=00463; Number of Customers=16,SIMBOLOS_N_158
NODE_0366,secondary_substation,SOWETO EX LANGATA,36.7540193,-1.3398636,250082.09,9851789.96,Substation Number=203808,SIMBOLOS_N_158
NODE_0367,secondary_substation,KUWINDA EX LANGATA,36.7770748,-1.3205915,252646.92,9853924.08,Substation Number=101219; Number of Customers=0,SIMBOLOS_N_158
NODE_0368,secondary_substation,SOWETO EX LANGATA,36.7363042,-1.3413741,248109.99,9851621.06,Substation Number=198672; Number of Customers=5,SIMBOLOS_N_158
NODE_0369,secondary_substation,OTIENDE EX LANGATA,36.7621541,-1.3370051,250987.44,9852106.99,Substation Number=16080; Number of Customers=118,SIMBOLOS_N_158
NODE_0370,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8022989,-1.330833,255456.1,9852793.73,Substation Number=132340; Number of Customers=17,SIMBOLOS_N_158
NODE_0371,secondary_substation,NDALATI EX LANGATA,36.7808874,-1.3117287,253070.51,9854904.81,Substation Number=45589; Number of Customers=0,SIMBOLOS_N_158
NODE_0372,secondary_substation,NDALATI EX LANGATA,36.7816798,-1.3117315,253158.73,9854904.57,Substation Number=45586; Number of Customers=8,SIMBOLOS_N_158
NODE_0373,secondary_substation,SOWETO EX LANGATA,36.7664613,-1.3610688,251469.41,9849445.62,Substation Number=02038; Number of Customers=15,SIMBOLOS_N_158
NODE_0374,secondary_substation,SOWETO EX LANGATA,36.7367073,-1.3410561,248154.83,9851656.27,Substation Number=G66238; Number of Customers=0,SIMBOLOS_N_158
NODE_0375,secondary_substation,SOWETO EX LANGATA,36.760768,-1.3562771,250835.09,9849975.06,Substation Number=00408; Number of Customers=28,SIMBOLOS_N_158
NODE_0376,secondary_substation,SOWETO EX LANGATA,36.7597103,-1.3501576,250716.71,9850651.86,Substation Number=106600; Number of Customers=9,SIMBOLOS_N_158
NODE_0377,secondary_substation,SOWETO EX LANGATA,36.7530995,-1.3445362,249980.15,9851273.0,Substation Number=13708; Number of Customers=7,SIMBOLOS_N_158
NODE_0378,secondary_substation,SOWETO EX LANGATA,36.7422724,-1.327032,248772.99,9853208.16,Substation Number=205623,SIMBOLOS_N_158
NODE_0379,secondary_substation,NDALATI EX LANGATA,36.7835155,-1.3030534,253362.25,9855864.67,Substation Number=257152,SIMBOLOS_N_158
NODE_0380,secondary_substation,NDALATI EX LANGATA,36.7877532,-1.3142134,253835.12,9854630.64,Substation Number=182390,SIMBOLOS_N_158
NODE_0381,secondary_substation,SOWETO EX LANGATA,36.7568726,-1.3405819,250399.82,9851710.79,Substation Number=12747; Number of Customers=29,SIMBOLOS_N_158
NODE_0382,secondary_substation,SOWETO EX LANGATA,36.7553873,-1.3490181,250235.31,9850777.46,Substation Number=04001; Number of Customers=5,SIMBOLOS_N_158
NODE_0383,secondary_substation,NDALATI EX LANGATA,36.7826261,-1.3086411,253263.77,9855246.51,Substation Number=45042; Number of Customers=253,SIMBOLOS_N_158
NODE_0384,secondary_substation,SOWETO EX LANGATA,36.7312525,-1.3350412,247546.93,9852321.06,Substation Number=12137; Number of Customers=6,SIMBOLOS_N_158
NODE_0385,secondary_substation,SOWETO EX LANGATA,36.7429552,-1.3407922,248850.4,9851686.11,Substation Number=171706; Number of Customers=16,SIMBOLOS_N_158
NODE_0386,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8180111,-1.3284939,257205.06,9853054.02,Substation Number=255816,SIMBOLOS_N_158
NODE_0387,secondary_substation,SOWETO EX LANGATA,36.7351261,-1.3335451,247978.03,9852486.96,Substation Number=13512; Number of Customers=4,SIMBOLOS_N_158
NODE_0388,secondary_substation,SOWETO EX LANGATA,36.7256063,-1.3320983,246918.01,9852646.03,Substation Number=14171; Number of Customers=7,SIMBOLOS_N_158
NODE_0389,secondary_substation,SOWETO EX LANGATA,36.7600959,-1.3580742,250760.45,9849776.21,Substation Number=32027; Number of Customers=76,SIMBOLOS_N_158
NODE_0390,secondary_substation,SOWETO EX LANGATA,36.7307911,-1.3367497,247495.73,9852132.03,Substation Number=32424; Number of Customers=33,SIMBOLOS_N_158
NODE_0391,secondary_substation,HARDY EX LANGATA,36.7898277,-1.3298547,254067.61,9852900.71,Substation Number=219483,SIMBOLOS_N_158
