segment_id,feeder_name,lon_start,lat_start,lon_end,lat_end,length_m,polyline_idx
SEG_00261,NGEI EX LANGATA,36.7710787,-1.3364807,36.7718146,-1.3358842,105.19,37
SEG_00262,NGEI EX LANGATA,36.7718146,-1.3358842,36.7728221,-1.3350353,146.29,37
SEG_00263,NGEI EX LANGATA,36.7728221,-1.3350353,36.7745985,-1.3336484,250.29,37
SEG_00264,NGEI EX LANGATA,36.7745985,-1.3336484,36.7755158,-1.3330094,124.19,37
SEG_00265,NGEI EX LANGATA,36.7755158,-1.3330094,36.7759575,-1.3327672,56.0,37
SEG_00266,NGEI EX LANGATA,36.7759575,-1.3327672,36.7774166,-1.3319587,185.43,38
SEG_00267,NDALATI EX LANGATA,36.7789457,-1.3123387,36.779314,-1.3122503,42.15,267
SEG_00268,NDALATI EX LANGATA,36.7801757,-1.3121887,36.7799757,-1.3122287,22.7,268
SEG_00269,NDALATI EX LANGATA,36.7798757,-1.311947,36.7800507,-1.311882,20.77,269
SEG_00270,SOWETO EX LANGATA,36.7570801,-1.3386464,36.7570801,-1.3386464,0.0,27
SEG_00271,SOWETO EX LANGATA,36.7570801,-1.3386464,36.7571764,-1.3385924,12.26,27
SEG_00272,SOWETO EX LANGATA,36.7571764,-1.3385924,36.7571884,-1.3385807,1.86,27
SEG_00273,SOWETO EX LANGATA,36.7571884,-1.3385807,36.7573074,-1.3385947,13.33,27
SEG_00274,SOWETO EX LANGATA,36.7573074,-1.3385947,36.7573168,-1.3386079,1.8,27
SEG_00275,SOWETO EX LANGATA,36.7573168,-1.3386079,36.7573255,-1.3385971,1.54,27
SEG_00276,SOWETO EX LANGATA,36.7573255,-1.3385971,36.7578766,-1.3386768,61.99,27
SEG_00277,SOWETO EX LANGATA,36.7578766,-1.3386768,36.7578924,-1.3386886,2.19,27
SEG_00278,SOWETO EX LANGATA,36.7578924,-1.3386886,36.7579018,-1.3386792,1.48,27
SEG_00279,SOWETO EX LANGATA,36.7579018,-1.3386792,36.7585221,-1.3387772,69.91,27
SEG_00280,HARDY EX LANGATA,36.7880023,-1.321227,36.7884983,-1.3212042,55.27,35
SEG_00281,HARDY EX LANGATA,36.7884983,-1.3212042,36.7886668,-1.3211131,21.3,35
SEG_00282,HARDY EX LANGATA,36.7886668,-1.3211131,36.7886595,-1.3209808,14.66,35
SEG_00283,HARDY EX LANGATA,36.7886595,-1.3209808,36.7887133,-1.3209473,7.03,35
SEG_00284,HARDY EX LANGATA,36.7887133,-1.3209473,36.7888559,-1.3208319,20.38,35
SEG_00285,HARDY EX LANGATA,36.7888559,-1.3208319,36.7889613,-1.3210276,24.62,35
SEG_00286,HARDY EX LANGATA,36.7889613,-1.3210276,36.7890204,-1.3211451,14.56,35
SEG_00287,HARDY EX LANGATA,36.7890204,-1.3211451,36.7890526,-1.321161,3.99,35
SEG_00288,SOWETO EX LANGATA,36.7597132,-1.3389538,36.759164,-1.3388743,61.78,144
SEG_00289,SOWETO EX LANGATA,36.759164,-1.3388743,36.7585221,-1.3387772,72.26,144
SEG_00290,NDALATI EX LANGATA,36.7824371,-1.3221161,36.7824371,-1.3221161,0.0,145
SEG_00291,NDALATI EX LANGATA,36.7824371,-1.3221161,36.782966,-1.3223806,65.75,145
SEG_00292,SOWETO EX LANGATA,36.7495751,-1.3383064,36.7495475,-1.3384148,12.37,292
SEG_00293,NDALATI EX LANGATA,36.7750903,-1.3108777,36.7750975,-1.3108139,7.11,146
SEG_00294,NDALATI EX LANGATA,36.7750975,-1.3108139,36.7750903,-1.3108777,7.11,147
SEG_00295,SOWETO EX LANGATA,36.7570351,-1.3396496,36.7570729,-1.3396343,4.54,98
SEG_00296,SOWETO EX LANGATA,36.7570729,-1.3396343,36.7572371,-1.3396531,18.4,98
SEG_00297,SOWETO EX LANGATA,36.7572371,-1.3396531,36.757249,-1.3396625,1.68,99
SEG_00298,NDALATI EX LANGATA,36.7875661,-1.314156,36.7882893,-1.3145173,89.88,99
SEG_00299,NDALATI EX LANGATA,36.7882893,-1.3145173,36.7885163,-1.314839,43.65,99
SEG_00300,NDALATI EX LANGATA,36.7885163,-1.314839,36.7886821,-1.3150734,31.82,100
SEG_00301,NGEI EX LANGATA,36.7664233,-1.3355961,36.7663972,-1.3347388,94.87,75
SEG_00302,NGEI EX LANGATA,36.7663972,-1.3347388,36.7664921,-1.333672,118.49,75
SEG_00303,NGEI EX LANGATA,36.7664921,-1.333672,36.7672002,-1.3336006,79.23,75
SEG_00304,NGEI EX LANGATA,36.7672002,-1.3336006,36.7677832,-1.3337839,68.01,76
SEG_00305,NDALATI EX LANGATA,36.776384,-1.312987,36.776559,-1.3129703,19.57,305
SEG_00306,NDALATI EX LANGATA,36.776559,-1.3129703,36.776859,-1.3131053,36.59,306
SEG_00307,SOWETO EX LANGATA,36.7599478,-1.3371477,36.7599478,-1.3371477,0.0,307
SEG_00308,NGEI EX LANGATA,36.7786291,-1.3316541,36.778964,-1.3314483,43.69,308
SEG_00309,NGEI EX LANGATA,36.7789908,-1.3314238,36.7795001,-1.3311371,64.97,154
SEG_00310,NGEI EX LANGATA,36.7795001,-1.3311371,36.7798104,-1.3309623,39.59,155
SEG_00311,KUWINDA EX LANGATA,36.7805303,-1.3300561,36.780397,-1.3297754,34.42,311
SEG_00312,SOWETO EX LANGATA,36.7665303,-1.3655294,36.766001,-1.365473,59.25,156
SEG_00313,SOWETO EX LANGATA,36.766001,-1.365473,36.7656285,-1.3654292,41.76,156
SEG_00314,KUWINDA EX LANGATA,36.7814399,-1.330055,36.7812214,-1.3297665,40.13,314
SEG_00315,SOWETO EX LANGATA,36.7342009,-1.3363394,36.7340736,-1.3364934,22.17,157
SEG_00316,SOWETO EX LANGATA,36.7340736,-1.3364934,36.7340084,-1.3366636,20.17,158
SEG_00317,KUWINDA EX LANGATA,36.782389,-1.3295107,36.7820999,-1.329195,47.49,317
SEG_00318,SOWETO EX LANGATA,36.755954,-1.3442193,36.7557292,-1.3451368,104.53,106
SEG_00319,SOWETO EX LANGATA,36.7557292,-1.3451368,36.7560177,-1.3460421,105.17,106
SEG_00320,SOWETO EX LANGATA,36.7560177,-1.3460421,36.7561726,-1.3466125,65.41,106
SEG_00321,SOWETO EX LANGATA,36.7561726,-1.3466125,36.7560973,-1.3467057,13.29,107
SEG_00322,SOWETO EX LANGATA,36.7560973,-1.3467057,36.7565608,-1.3469412,57.81,107
SEG_00323,SOWETO EX LANGATA,36.7565608,-1.3469412,36.7569625,-1.3470971,47.94,107
SEG_00324,SOWETO EX LANGATA,36.7569784,-1.3471392,36.7570222,-1.3472641,14.64,324
SEG_00325,OTIENDE EX LANGATA,36.7602935,-1.3347607,36.7602935,-1.3347607,0.0,54
SEG_00326,OTIENDE EX LANGATA,36.7602935,-1.3347607,36.7601817,-1.3352035,50.54,54
SEG_00327,OTIENDE EX LANGATA,36.7601817,-1.3352035,36.7601443,-1.3357609,61.8,54
SEG_00328,OTIENDE EX LANGATA,36.7601443,-1.3357609,36.7600921,-1.336161,44.64,54
SEG_00329,OTIENDE EX LANGATA,36.7600921,-1.336161,36.7600515,-1.3365982,48.57,54
SEG_00330,OTIENDE EX LANGATA,36.7600515,-1.3365982,36.7599478,-1.3371477,61.87,55
SEG_00331,SOWETO EX LANGATA,36.7561726,-1.3466125,36.7555659,-1.3467024,68.27,82
SEG_00332,SOWETO EX LANGATA,36.7555659,-1.3467024,36.7551069,-1.3467594,51.49,83
SEG_00333,SOWETO EX LANGATA,36.7551069,-1.3467594,36.7551531,-1.3471802,46.83,83
SEG_00334,SOWETO EX LANGATA,36.7551531,-1.3471802,36.755227,-1.347644,51.97,83
SEG_00335,KUWINDA EX LANGATA,36.7718369,-1.3192759,36.7717865,-1.3192833,5.67,335
SEG_00336,SOWETO EX LANGATA,36.7599408,-1.3372209,36.7599041,-1.3376026,42.42,67
SEG_00337,SOWETO EX LANGATA,36.7599041,-1.3376026,36.7598706,-1.3377933,21.43,67
SEG_00338,SOWETO EX LANGATA,36.7598706,-1.3377933,36.7598109,-1.3381639,41.52,67
SEG_00339,SOWETO EX LANGATA,36.7598109,-1.3381639,36.7597674,-1.338569,45.07,67
SEG_00340,SOWETO EX LANGATA,36.7597674,-1.338569,36.7597132,-1.3389538,43.0,68
SEG_00341,NDALATI EX LANGATA,36.7794424,-1.313337,36.779309,-1.3137653,49.65,341
SEG_00342,NDALATI EX LANGATA,36.7794424,-1.313337,36.7796507,-1.3129337,50.28,342
SEG_00343,NDALATI EX LANGATA,36.7806224,-1.3134453,36.7803807,-1.3135387,28.82,343
SEG_00344,NDALATI EX LANGATA,36.7779424,-1.3116392,36.7779611,-1.3115144,13.96,172
SEG_00345,NDALATI EX LANGATA,36.7779611,-1.3115144,36.7780253,-1.3114982,7.37,172
SEG_00346,NDALATI EX LANGATA,36.7813757,-1.3128453,36.7812707,-1.313072,27.66,346
SEG_00347,SOWETO EX LANGATA,36.7430694,-1.3323475,36.7432244,-1.3314428,101.56,57
SEG_00348,SOWETO EX LANGATA,36.7432244,-1.3314428,36.7434284,-1.3304833,108.53,58
SEG_00349,SOWETO EX LANGATA,36.7434284,-1.3304833,36.7436723,-1.3293308,130.35,58
SEG_00350,SOWETO EX LANGATA,36.7436723,-1.3293308,36.7436984,-1.3292157,13.06,58
SEG_00351,SOWETO EX LANGATA,36.7436984,-1.3292157,36.7440652,-1.3274276,201.96,58
